na,nb,in_dim,epochs,best_val_loss,val_rmse_theta_rad,val_rmse_theta_deg
4,6,14,191,3.1339201086666435e-05,0.0050203739665448666,0.2876462398603732
4,4,12,173,2.9440014259307645e-05,0.005040930118411779,0.28882402060537726
4,8,16,189,3.3837473893072456e-05,0.0053268009796738625,0.30520321444146453
4,2,10,179,2.7509808205650188e-05,0.005340410862118006,0.30598300326518313
6,2,14,200,2.6814726879820228e-05,0.005437631160020828,0.31155331601801944
6,6,18,168,2.7207301172893494e-05,0.005541671067476273,0.31751436361614804
6,8,20,174,3.0193919883458875e-05,0.005686821416020393,0.32583086598257904
8,4,20,200,2.9580927730421536e-05,0.00577622139826417,0.33095310765369196
6,4,16,199,3.176954123773612e-05,0.0059247626923024654,0.33946389688549805
2,2,6,171,3.816925527644344e-05,0.0060342601500451565,0.34573763908156635
8,2,18,135,3.3731485018506646e-05,0.006233930122107267,0.35717788577622034
2,4,8,181,4.4025426177540794e-05,0.00660510640591383,0.3784447202936864
8,8,24,187,3.5620021662907675e-05,0.006624244153499603,0.3795412324597379
2,8,12,184,4.903309672954492e-05,0.007015738170593977,0.401972187343868
8,6,22,180,3.88761873182375e-05,0.007227438967674971,0.4141017495361644
2,6,10,140,5.937124660704285e-05,0.007759069092571735,0.4445619119547619
