na,nb,in_dim,epochs,val_pred_rad,val_pred_deg,val_sim_rad,val_sim_deg
8,8,24,187,0.006624244153499603,0.3795412324597379,0.11613517597006282,6.654055436093736
8,4,20,200,0.00577622139826417,0.33095310765369196,0.12305503098827263,7.050533923479581
8,2,18,135,0.006233930122107267,0.35717788577622034,0.12311510886799329,7.0539761324296695
8,6,22,180,0.007227438967674971,0.4141017495361644,0.12518655599317474,7.172661310187075
6,4,16,199,0.0059247626923024654,0.33946389688549805,0.14756915702311432,8.455089883727782
4,2,10,179,0.005340410862118006,0.30598300326518313,0.14791182990828722,8.47472359380176
6,8,20,174,0.005686821416020393,0.32583086598257904,0.14882837420128142,8.52723771352713
4,6,14,191,0.0050203739665448666,0.2876462398603732,0.14937506586189547,8.558560838375314
6,6,18,168,0.005541671067476273,0.31751436361614804,0.15599292513626578,8.937736244208242
6,2,14,200,0.005437631160020828,0.31155331601801944,0.15601615058525378,8.93906696441255
4,8,16,189,0.0053268009796738625,0.30520321444146453,0.16123434237161635,9.238047330460958
4,4,12,173,0.005040930118411779,0.28882402060537726,0.16448110260726176,9.42407298905434
2,2,6,171,0.0060342601500451565,0.34573763908156635,0.20836763966876426,11.938586340122903
2,8,12,184,0.007015738170593977,0.401972187343868,0.22207634283561087,12.72403717418084
2,6,10,140,0.007759069092571735,0.4445619119547619,0.2283100961936631,13.081204932122738
2,4,8,181,0.00660510640591383,0.3784447202936864,0.23999099488823783,13.750471128241742
